id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
32,"The Obama administration has put out ""more of these major rules than the Clinton administration or the Bush administration during comparable times.""",Rob Portman,models/gemini-2.5-pro,The Obama administration issued more major rules than the Clinton administration in a comparable period.,high,The Obama administration issued more major rules than the Bush administration in a comparable period.,high,"The statement's comparison is based on regulations defined as ""major rules"".",medium,The Obama administration issued more major rules than the Clinton administration in a comparable period.,high,95,Likely false,"Data shows the numbers were nearly identical, with some counts showing the Bush administration issued slightly more.",True
33,"Electric utility FirstEnergy's annual revenues are greater ""than the GDP of Haiti, Kyrgyzstan, Iceland, or 15 African nations.""",Marcy Kaptur,models/gemini-2.5-pro,FirstEnergy's annual revenues are greater than the GDP of Haiti.,high,FirstEnergy's annual revenues are greater than the GDP of Kyrgyzstan.,high,FirstEnergy's annual revenues are greater than the GDP of Iceland.,high,FirstEnergy's annual revenues are greater than the GDP of Haiti.,high,0,Likely false,FirstEnergy's revenue in recent years was less than Haiti's Gross Domestic Product.,True
34,"Says Hillary Clinton is ""proposing to print instant work permits for millions of illegal immigrants to come in and take everybody's jobs, including low-income African-Americans.""",Donald Trump,models/gemini-2.5-pro,Hillary Clinton is proposing to print instant work permits for millions of illegal immigrants.,high,The proposal would allow immigrants to come in and take everybody's jobs.,medium,The jobs taken would include those of low-income African-Americans.,medium,Hillary Clinton is proposing to print instant work permits for millions of illegal immigrants.,high,40,Likely false,"Clinton's plan included a multi-year path to work permits, not an ""instant"" process as claimed.",False
35,"""Ivanka Trump charged with major crime.""",Facebook posts,models/gemini-2.5-pro,Ivanka Trump has been charged with a crime.,high,The charge against Ivanka Trump is for a major crime.,high,"There is a formal, legal charge filed against Ivanka Trump.",high,Ivanka Trump has been charged with a crime.,high,98,Likely false,There are no credible reports or public records of Ivanka Trump facing criminal charges.,False
36,"Former slave Nancy Green, the first Aunt Jemima model, died ""as one of America’s first black millionaires.""",Facebook posts,models/gemini-2.5-pro,Nancy Green was a former slave.,high,Nancy Green was the first Aunt Jemima model.,high,Nancy Green died as one of America’s first black millionaires.,high,Nancy Green was a former slave.,high,95,Likely false,Historical records show Nancy Green was not a millionaire and lived a modest life until her death.,False
37,"Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education.""",Harold Metts,models/gemini-2.5-pro,The Rhode Island Lottery was proposed and put to a vote.,low,State residents were enticed to vote for the lottery with a promise.,medium,The promise was that the money would be used for education.,high,The promise was that the money would be used for education.,high,95,Likely false,Historical records show the 1973 ballot measure made no mention of dedicating lottery revenue to education.,False
38,"""Democrats forced our GREAT troops to sleep on the ground of a PARKING garage after dragging them to DC for photo ops!""",Facebook posts,models/gemini-2.5-pro,National Guard troops slept on the ground of a parking garage.,high,"The troops were in Washington, D.C.",high,Democrats forced the troops to sleep in the parking garage.,low,National Guard troops slept on the ground of a parking garage.,high,95,Likely false,"While troops slept in a garage, no evidence shows Democrats forced them there for photo ops.",False
39,"""Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.""",John Boehner,models/gemini-2.5-pro,The national debt is on track to exceed the size of our entire economy.,high,This is projected to happen in just two more years.,high,The speaker is comparing the national debt to the size of the economy (GDP).,low,The national debt is on track to exceed the size of our entire economy.,high,95,Verified,"In 2011, CBO projections showed total public debt was on track to exceed GDP by 2013.",True
40,"Says Joe Biden plans to ""mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.""",Donald Trump,models/gemini-2.5-pro,Joe Biden plans to mandate net-zero carbon emissions for all new buildings by 2030.,medium,Achieving net-zero carbon emissions in buildings means having 'no windows'.,high,The Biden administration has a plan concerning carbon emissions from buildings.,high,Achieving net-zero carbon emissions in buildings means having 'no windows'.,high,95,Likely false,"Net-zero building standards require highly-efficient windows, not their elimination as the statement claims.",False
41,"""Most Americans are now getting their news from Facebook.""",Rebecca Kleefisch,models/gemini-2.5-pro,Most Americans get their news from Facebook.,high,Americans get news from Facebook.,medium,Facebook is a news source.,low,Most Americans get their news from Facebook.,high,31,Likely false,"Studies show about a third of Americans regularly get news from Facebook, not a majority.",False
42,"""CDC says expect a polio-like outbreak coming in children in the next four months.""",Instagram posts,models/gemini-2.5-pro,The CDC said to expect a polio-like outbreak.,high,The expected outbreak will be in children.,high,The outbreak is expected in the next four months.,high,The CDC said to expect a polio-like outbreak.,high,100,Likely false,The CDC has not issued a warning predicting a specific 'polio-like outbreak' in the coming months.,False
43,Ron Howard wrote a Facebook post about being a liberal.,Facebook posts,models/gemini-2.5-pro,A viral post about 'being a liberal' has been circulated on Facebook.,high,The post has been attributed to Ron Howard.,high,Ron Howard authored the viral Facebook post about being a liberal.,high,A viral post about 'being a liberal' has been circulated on Facebook.,high,95,Likely false,The post was widely misattributed to Ron Howard; its actual author is reportedly Charles G. Hill.,False
44,Says Fran DeWine’s made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.,Mike DeWine,models/gemini-2.5-pro,Fran DeWine makes dinner rolls.,low,The dinner rolls are made from scratch.,low,Dinner rolls are part of a traditional Thanksgiving dinner.,low,Fran DeWine makes dinner rolls.,low,95,Verified,Fran DeWine has publicly shared her from-scratch recipe for the dinner rolls.,True
45,"The Green New Deal ""costs an average American household almost $700,000 through 2029.""",Ben Cline,models/gemini-2.5-pro,The Green New Deal has a projected cost for American households.,low,The projected cost is calculated through the year 2029.,medium,"The projected cost is almost $700,000 per American household.",high,"The projected cost is almost $700,000 per American household.",high,95,Likely false,"This figure comes from a disputed, high-end estimate of a non-binding resolution's potential costs.",False
46,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgia’s advantage in landing the company's USA corporate headquarters.,Mark Drewniak,models/gemini-2.5-pro,Mercedes-Benz USA moved its corporate headquarters from New Jersey to Georgia.,high,Mercedes cited high taxes in New Jersey as a reason for the move.,high,Mercedes cited the cost of doing business in New Jersey as a reason for the move.,high,Mercedes-Benz USA moved its corporate headquarters from New Jersey to Georgia.,high,95,Verified,Mercedes' CEO cited the need for efficiencies and Georgia's business-friendly climate as reasons for the move.,True
47,"""There's no court session between now and the end of this election.""",Joe Biden,models/gemini-2.5-pro,There's no court session between now and the end of this election.,high,The Supreme Court is not currently in session.,high,The Supreme Court will not hold a session before the election ends.,high,There's no court session between now and the end of this election.,high,95,Likely false,The Supreme Court's term began in October and it held sessions before the November election.,False
48,"""One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.""",Ann Coulter,models/gemini-2.5-pro,Rhode Island was one of the first states to pass a voter ID bill.,medium,Rhode Island passed a voter ID bill.,high,Rhode Island's legislature was 85 percent Democratic when the voter ID bill was passed.,high,Rhode Island passed a voter ID bill.,high,85,Verified,"In 2011, Rhode Island's legislature was about 90% Democratic, making the claim substantively correct.",False
49,Says she is a registered nurse.,Laurie Monnes Anderson,models/gemini-2.5-pro,Laurie Monnes Anderson is a registered nurse.,high,Laurie Monnes Anderson is a political figure who served in the Oregon Legislature.,high,A registered nurse is a professional credential requiring state licensure.,high,Laurie Monnes Anderson is a registered nurse.,high,100,Verified,Public records from the Oregon State Board of Nursing confirm her active RN license.,False
50,"""Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.""",Barack Obama,models/gemini-2.5-pro,The Romney/Ryan budget was a proposed federal budget.,low,The budget contained provisions affecting federal student loan interest rates.,medium,The budget would allow interest rates on federal student loans to double.,high,The budget would allow interest rates on federal student loans to double.,high,90,Verified,"The budget omitted an extension of lower rates, thereby allowing them to double as scheduled by law.",False
51,"Says former President Barack Obama ""took similar action against Cuban refugees"" as President Donald Trump did in his executive order.",Mario Diaz-Balart,models/gemini-2.5-pro,"Barack Obama ended the 'wet foot, dry foot' policy.",high,"The 'wet foot, dry foot' policy gave preferential immigration status to Cuban refugees.",high,President Donald Trump issued an executive order related to refugees.,high,"Barack Obama ended the 'wet foot, dry foot' policy.",high,100,Verified,"Barack Obama did end the 'wet foot, dry foot' policy, a significant action affecting Cuban refugees.",False
52,"""We’re sending back the vast majority of the families that are coming.""",Joe Biden,models/gemini-2.5-pro,The U.S. is sending back migrant families arriving at the border.,medium,The number of families sent back constitutes a 'vast majority'.,high,Migrant families are coming to the U.S. border.,low,The number of families sent back constitutes a 'vast majority'.,high,19,Likely false,"At the time, official data showed a minority of migrant families were being sent back.",False
53,"""The black unemployment rate (has) increased since the recovery has begun.""",Marc Morial,models/gemini-2.5-pro,Black unemployment was higher in Aug. 2011 (16.7%) than in June 2009 (14.7%).,high,"The Great Recession officially ended in June 2009, marking the start of a recovery.",high,The Black unemployment rate fluctuated significantly after June 2009.,high,Black unemployment was higher in Aug. 2011 (16.7%) than in June 2009 (14.7%).,high,100,Verified,BLS data shows the rate was higher at points during the recovery than at its start.,True
54,"""I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another.""",Rick Santorum,models/gemini-2.5-pro,Rick Santorum's stated position is against amnesty.,high,The statement claims every other candidate in the field wants to allow illegal immigrants to stay.,high,The statement asserts Rick Santorum is the only candidate in the field who is against amnesty.,high,Rick Santorum's stated position is against amnesty.,high,95,Likely false,"Other candidates in the field, such as Mitt Romney and Ron Paul, also held strong anti-amnesty positions.",False
55,"Rhode Island’s voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",Ann Coulter,models/gemini-2.5-pro,Rhode Island has a voter identification law.,high,The law was pushed by a Black Democrat in the Rhode Island House.,high,The law was pushed by a Black Democrat in the Rhode Island Senate.,high,Rhode Island has a voter identification law.,high,100,Verified,"The law's sponsors were Rep. Anastasia Williams and Sen. Harold Metts, who are both Black Democrats.",True
56,"Kip Kinkel and Clackamas Town Center shootings ""both where citizen with gun stopped the crime""",Oregon Citizens Lobby,models/gemini-2.5-pro,A citizen with a gun stopped the Kip Kinkel shooting.,high,A citizen with a gun stopped the Clackamas Town Center shooting.,high,The Kip Kinkel and Clackamas shootings were crimes.,low,A citizen with a gun stopped the Kip Kinkel shooting.,high,95,Likely false,"Kip Kinkel was subdued by several unarmed students, not by an armed citizen.",False
57,"""Obama put a 10 percent tax on tanning.""",Snooki,models/gemini-2.5-pro,A 10 percent tax was put on tanning.,high,The tax was implemented under the Obama administration.,high,The tax rate on tanning is 10 percent.,high,A 10 percent tax was put on tanning.,high,100,Verified,"The Affordable Care Act, signed by President Obama, included a 10% tax on indoor tanning services.",True
58,"""Forty-three million Americans are on food stamps.""",Donald Trump,models/gemini-2.5-pro,Forty-three million Americans are on food stamps.,high,The U.S. government provides a food assistance program for citizens.,high,"The program is commonly referred to as ""food stamps.""",medium,Forty-three million Americans are on food stamps.,high,90,Verified,USDA data shows SNAP participation was approximately 42 million in fiscal years 2017 and 2023.,True
59,"""Mickey Mouse was registered to vote (in Florida).""",Eric Eisnaugle,models/gemini-2.5-pro,A voter registration form for 'Mickey Mouse' was submitted in Florida.,high,The name 'Mickey Mouse' appeared on official Florida voter rolls.,high,The name on the registration was that of a fictional character.,low,A voter registration form for 'Mickey Mouse' was submitted in Florida.,high,95,Likely false,"Reports indicate fraudulent applications were submitted, but officials caught them before they appeared on official voter rolls.",False
60,"""Black Lives Matter of Atlanta Charged with Wire Fraud, Money Laundering and Allegedly Using almost 500k in Donations For Personal Use.""",Tweets,models/gemini-2.5-pro,Black Lives Matter of Atlanta was charged with wire fraud.,high,Black Lives Matter of Atlanta was charged with money laundering.,high,"Almost $500,000 in donations were allegedly used for personal use.",high,Black Lives Matter of Atlanta was charged with wire fraud.,high,100,Verified,A man who ran 'Black Lives Matter of Greater Atlanta' was federally indicted on these charges.,False
61,"""Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.""",Tweets,models/gemini-2.5-pro,A fire drone video is being presented.,low,Twitter took action to prevent the video from being seen.,high,Google and YouTube took action to prevent the video from being seen.,high,Twitter took action to prevent the video from being seen.,high,85,Uncertain,"Claims of platform suppression require specific evidence of moderation action, which is not provided.",False
62,"When he took office in 2009, President Barack Obama ""had the biggest Democratic majorities in Congress since Lyndon Johnson.""",Haley Barbour,models/gemini-2.5-pro,Barack Obama took office in 2009.,low,"In 2009, Democrats had majorities in Congress.",medium,The 2009 Democratic congressional majorities were the largest since Lyndon Johnson's presidency.,high,The 2009 Democratic congressional majorities were the largest since Lyndon Johnson's presidency.,high,0,Likely false,Democratic majorities under Presidents Carter and Ford were larger than those under President Obama.,False
63,Students no longer say the Pledge of Allegiance in schools.,Viral image,models/gemini-2.5-pro,Most US states have laws requiring or recommending the daily recitation of the Pledge of Allegiance in public schools.,high,A 1943 Supreme Court ruling established that students cannot be compelled to say the Pledge of Allegiance.,high,Many public schools across the United States continue the practice of reciting the Pledge of Allegiance.,high,Most US states have laws requiring or recommending the daily recitation of the Pledge of Allegiance in public schools.,high,100,Likely false,"While students cannot be forced to participate, the Pledge is still recited in many schools nationwide.",False
64,"""Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP].""",Mark Warner,models/gemini-2.5-pro,Federal government spending is close to 25 percent of GDP.,high,Federal revenues are about 15 percent of GDP.,high,Federal spending as a percentage of GDP is at an all-time high.,medium,Federal government spending is close to 25 percent of GDP.,high,98,Verified,CBO data shows federal spending was between 24% and 25% of GDP from 2009-2011.,True
65,"""Even Fairfax County doesn’t pay the kind of (school administration) salaries that Richmond is paying right now.""",Kim Gray,models/gemini-2.5-pro,Richmond pays school administration salaries.,low,Fairfax County pays school administration salaries.,low,Richmond's school administration salaries are higher than Fairfax County's.,high,Richmond's school administration salaries are higher than Fairfax County's.,high,10,Likely false,Public records show Fairfax County's top administrator salaries are significantly higher than those in Richmond.,False
66,"Says U.N. arms treaty will mandate a ""new international gun registry.""",Steve Stockman,models/gemini-2.5-pro,A U.N. arms treaty exists.,low,The U.N. arms treaty mandates a gun registry.,high,"The mandated gun registry will be an ""international"" one.",high,The U.N. arms treaty mandates a gun registry.,high,0,Likely false,"The treaty requires national records of arms transfers, not a centralized international gun registry.",False
67,"""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""",Tracy McCreery,models/gemini-2.5-pro,Suicide is the second-leading cause of death among 15-19 year olds in Missouri.,high,Suicide is the second-leading cause of death among 25-34 year olds in Missouri.,high,Suicide is a leading cause of death for at least two young adult age groups in Missouri.,medium,Suicide is the second-leading cause of death among 15-19 year olds in Missouri.,high,95,Verified,"CDC data confirms this ranking was accurate for these age groups in recent years, though rankings fluctuate.",True
