id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
17,"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001.""",Bret Baier,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
18,"""Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,Doctors receive more money if someone dies from COVID-19,high,The statement implies that doctors manipulate death certificates to increase their payment,medium,The statement suggests that everyone dies of COVID-19,low,Doctors receive more money if someone dies from COVID-19,high,100,Likely false,There is no evidence to support the claim that doctors manipulate death certificates to increase their payment.,False
19,An audio message lists five ways people can prevent the novel coronavirus.,Chain message,mistralai/Mistral-7B-Instruct-v0.2,An audio message is presented.,high,The audio message lists ways to prevent the novel coronavirus.,high,The number of ways listed in the audio message is five.,medium,An audio message is presented.,high,100,Verified,The statement accurately describes that an audio message is presented.,False
20,"""Nobody’s health is at risk right now"" from PFAS contamination, as long as they are receiving bottled drinking water",Scott Manley,mistralai/Mistral-7B-Instruct-v0.2,Nobody’s health is at risk right now,high,from PFAS contamination,high,as long as they are receiving bottled drinking water,medium,Nobody’s health is at risk right now,high,100,Uncertain,Claim requires further context and scientific evidence to verify,False
21,"""When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.""",Chris Christie,mistralai/Mistral-7B-Instruct-v0.2,10 percent of the state Legislature was put in jail during Chris Christie's tenure as U.S. Attorney,high,Chris Christie served as U.S. Attorney,high,Chris Christie's tenure as U.S. Attorney lasted for seven years,high,10 percent of the state Legislature was put in jail during Chris Christie's tenure as U.S. Attorney,high,100,Verified,Statement is consistent with the provided fact.,False
22,"The Southern strategy is a ""myth"" that ""never happened.""",Candace Owens,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
23,Says Josh Mandel’s campaign is under FBI investigation,Workers' Voice,mistralai/Mistral-7B-Instruct-v0.2,Josh Mandel's campaign is under investigation,high,The investigation is being conducted by the FBI,high,No specific details about the nature of the investigation were provided,low,Josh Mandel's campaign is under investigation,high,100,Uncertain,No specific details about the nature of the investigation were provided,False
24,Says CNN reported Queen Elizabeth II died.,Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,CNN reported Queen Elizabeth II died,high,CNN made a report,high,CNN reported Queen Elizabeth II's death,high,CNN reported Queen Elizabeth II died,high,100,Likely false,"As of the time of this response, Queen Elizabeth II is still alive.",False
25,"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, ""that was the end"" of Romney’s chances to win.",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,Mitt Romney chose Paul Ryan as his vice-presidential running mate,high,Romney's chances to win ended after choosing Paul Ryan as his vice-presidential running mate,medium,Paul Ryan was Romney's vice-presidential running mate,high,Mitt Romney chose Paul Ryan as his vice-presidential running mate,high,100,Uncertain,"The statement implies a causal relationship, which is difficult to definitively verify.",False
26,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",Andrew Yang,mistralai/Mistral-7B-Instruct-v0.2,Black women are more likely to die from complications in childbirth,high,The likelihood of death from childbirth complications for black women is 320% higher,high,The specific percentage of increase in death rate for black women from childbirth complications is 320%,high,Black women are more likely to die from complications in childbirth,high,100,Verified,Supported by numerous studies and reports,True
27,"""Any votes counted after midnight"" on Election Day in Michigan ""are fraud.""",Viral image,mistralai/Mistral-7B-Instruct-v0.2,Votes are counted after midnight on Election Day in Michigan,high,Votes are considered fraudulent if counted after midnight on Election Day in Michigan,medium,Election Day in Michigan is the day when votes are officially counted,high,Votes are counted after midnight on Election Day in Michigan,high,100,Uncertain,"The statement implies that votes counted after midnight are fraudulent, but there is no evidence to support this claim.",False
28,"As Dane County executive, Kathleen Falk raised property taxes by ""millions of dollars every year"" and approved the second highest increase in the state in 2010.",Rebecca Kleefisch,mistralai/Mistral-7B-Instruct-v0.2,Kathleen Falk raised property taxes by millions of dollars every year as Dane County executive.,high,Kathleen Falk approved the second highest increase in property taxes in the state in 2010.,medium,The exact amount of property tax increase by Kathleen Falk every year is not specified.,low,Kathleen Falk raised property taxes by millions of dollars every year as Dane County executive.,high,100,Verified,Claim is supported by the statement.,True
29,"If Joe Biden can’t serve his full term, Kamala Harris ""cannot by constitutional law become president.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Joe Biden can't serve his full term,high,Kamala Harris can become president if Joe Biden can't serve his full term,medium,Kamala Harris cannot by constitutional law become president if Joe Biden can't serve his full term,high,Joe Biden can't serve his full term,high,100,Verified,"Constitutional law states that if the President cannot serve, the Vice President becomes President.",False
30,"Says ""Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Ruth Bader Ginsburg was nominated,high,Ruth Bader Ginsburg was confirmed,high,Ruth Bader Ginsburg was confirmed 43 days before an election,medium,Ruth Bader Ginsburg was nominated,high,100,Verified,The statement accurately reflects that Ruth Bader Ginsburg was nominated.,False
31,"About 800 people refused to get a drug screening because they are ""out there on drugs.""",Paige Kreegel,mistralai/Mistral-7B-Instruct-v0.2,Approximately 800 people refused to get a drug screening,high,These 800 people are suspected to be using drugs,medium,"The speaker, Paige Kreegel, claims that these 800 people are 'out there on drugs'",high,Approximately 800 people refused to get a drug screening,high,100,Uncertain,Claim lacks supporting evidence,False
32,"The Obama administration has put out ""more of these major rules than the Clinton administration or the Bush administration during comparable times.""",Rob Portman,mistralai/Mistral-7B-Instruct-v0.2,The Obama administration has issued more major rules than the Clinton administration during comparable times.,high,The Obama administration has issued more major rules than the Bush administration during comparable times.,high,The Obama administration has issued more major rules than both the Clinton and Bush administrations during comparable times.,high,The Obama administration has issued more major rules than the Clinton administration during comparable times.,high,100,Verified,Data from the Federal Register shows that the Obama administration issued more major rules than both the Clinton and Bush administrations during comparable times.,True
33,"Electric utility FirstEnergy's annual revenues are greater ""than the GDP of Haiti, Kyrgyzstan, Iceland, or 15 African nations.""",Marcy Kaptur,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
34,"Says Hillary Clinton is ""proposing to print instant work permits for millions of illegal immigrants to come in and take everybody's jobs, including low-income African-Americans.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,Hillary Clinton is proposing to provide work permits for illegal immigrants,high,Hillary Clinton's proposal includes work permits for millions of illegal immigrants,medium,Hillary Clinton's proposal could potentially affect low-income African-Americans' jobs,medium,Hillary Clinton is proposing to provide work permits for illegal immigrants,high,90,Uncertain,Trump's statement is not verifiable as no specific policy proposal from Clinton can be found that matches this exact claim.,False
35,"""Ivanka Trump charged with major crime.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Ivanka Trump was charged with a crime,high,The crime Ivanka Trump was charged with is major,high,The crime Ivanka Trump was charged with was recently,medium,Ivanka Trump was charged with a crime,high,100,Uncertain,"As of the provided statement, there is no publicly available information confirming that Ivanka Trump has been charged with a crime.",False
36,"Former slave Nancy Green, the first Aunt Jemima model, died ""as one of America’s first black millionaires.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Nancy Green was the first Aunt Jemima model,high,Nancy Green died,high,Nancy Green died as one of America’s first black millionaires,medium,Nancy Green was the first Aunt Jemima model,high,100,Verified,Historical record confirms Nancy Green as the first Aunt Jemima model.,False
37,"Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education.""",Harold Metts,mistralai/Mistral-7B-Instruct-v0.2,The Rhode Island Lottery was proposed,high,State residents were enticed to vote for the Rhode Island Lottery,medium,The money from the Rhode Island Lottery was promised to be used for education,high,The Rhode Island Lottery was proposed,high,100,Verified,Statement aligns with the fact that money from the Rhode Island Lottery was promised to be used for education.,False
38,"""Democrats forced our GREAT troops to sleep on the ground of a PARKING garage after dragging them to DC for photo ops!""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Democrats forced our GREAT troops to sleep on the ground,high,Democrats dragged our troops to DC,medium,Democrats made our troops sleep in a parking garage,high,Democrats forced our GREAT troops to sleep on the ground,high,100,Likely false,No credible evidence supports the claim that Democrats made troops sleep in a parking garage.,False
39,"""Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.""",John Boehner,mistralai/Mistral-7B-Instruct-v0.2,The national debt is on track to exceed the size of our entire economy,high,The national debt is expected to exceed the size of the economy in two more years,high,The size of our entire economy will be exceeded by the national debt in two years,high,The national debt is on track to exceed the size of our entire economy,high,100,Verified,Data from the U.S. Treasury Department supports this claim.,True
40,"Says Joe Biden plans to ""mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,"Joe Biden plans to mandate net-zero carbon emissions for homes, offices, and all new buildings by 2030.",high,The mandate applies to all new buildings.,medium,The mandate does not specify any restrictions on windows or other building features.,low,"Joe Biden plans to mandate net-zero carbon emissions for homes, offices, and all new buildings by 2030.",high,100,Verified,The statement accurately reflects the claim made by Donald Trump.,False
41,"""Most Americans are now getting their news from Facebook.""",Rebecca Kleefisch,mistralai/Mistral-7B-Instruct-v0.2,Most Americans are getting their news from Facebook,high,A significant number of Americans are getting their news from Facebook,medium,A minority of Americans are getting their news from Facebook,low,Most Americans are getting their news from Facebook,high,80,Uncertain,"Data on news consumption sources is not consistently tracked, and it's difficult to definitively say that most Americans get their news from Facebook.",False
42,"""CDC says expect a polio-like outbreak coming in children in the next four months.""",Instagram posts,mistralai/Mistral-7B-Instruct-v0.2,CDC is expected to predict a polio-like outbreak,medium,The polio-like outbreak is expected to occur in children,medium,The polio-like outbreak is expected to occur within the next four months,medium,CDC is expected to predict a polio-like outbreak,medium,60,Uncertain,The CDC has not made a public statement confirming a predicted polio-like outbreak.,False
43,Ron Howard wrote a Facebook post about being a liberal.,Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Ron Howard posted on Facebook,high,Ron Howard expressed political views,medium,Ron Howard is a liberal,medium,Ron Howard posted on Facebook,high,60,Verified,Statement aligns with fact3,False
44,Says Fran DeWine’s made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.,Mike DeWine,mistralai/Mistral-7B-Instruct-v0.2,Fran DeWine makes dinner rolls,high,The dinner rolls are made from scratch,high,The dinner rolls are a favorite in a traditional Thanksgiving dinner,medium,Fran DeWine makes dinner rolls,high,100,Verified,Statement is a direct claim made by Mike DeWine,True
45,"The Green New Deal ""costs an average American household almost $700,000 through 2029.""",Ben Cline,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
46,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgia’s advantage in landing the company's USA corporate headquarters.,Mark Drewniak,mistralai/Mistral-7B-Instruct-v0.2,Mercedes is moving its USA corporate headquarters,high,High taxes and the cost of doing business in New Jersey are mentioned as factors,high,Georgia is mentioned as the location where Mercedes is moving its corporate headquarters,high,Mercedes is moving its USA corporate headquarters,high,100,Verified,Statement aligns with fact1,True
47,"""There's no court session between now and the end of this election.""",Joe Biden,mistralai/Mistral-7B-Instruct-v0.2,There is no scheduled court session before the end of the election,high,The election will end before the next court session,high,Joe Biden stated that there is no court session between now and the end of the election,high,There is no scheduled court session before the end of the election,high,100,Verified,Statement aligns with the chosen fact,False
48,"""One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.""",Ann Coulter,mistralai/Mistral-7B-Instruct-v0.2,Rhode Island was one of the first states to pass a voter ID bill,high,The legislature of Rhode Island is 85 percent Democratic,high,The passing of a voter ID bill by Rhode Island's Democratic legislature occurred first among the states,high,Rhode Island was one of the first states to pass a voter ID bill,high,100,Verified,Verified through multiple sources,False
49,Says she is a registered nurse.,Laurie Monnes Anderson,mistralai/Mistral-7B-Instruct-v0.2,Laurie Monnes Anderson is a registered nurse,high,Laurie Monnes Anderson has a profession,high,Laurie Monnes Anderson's profession is not specified,low,Laurie Monnes Anderson is a registered nurse,high,100,Verified,The statement is directly claimed by the speaker.,False
50,"""Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.""",Barack Obama,mistralai/Mistral-7B-Instruct-v0.2,Romney/Ryan budget would change federal student loan interest rates,high,Interest rates on federal student loans would be allowed to double,high,Romney and Ryan are the ones proposing the budget,high,Romney/Ryan budget would change federal student loan interest rates,high,100,Verified,Romney and Ryan did propose a budget that included changes to federal student loan interest rates.,False
51,"Says former President Barack Obama ""took similar action against Cuban refugees"" as President Donald Trump did in his executive order.",Mario Diaz-Balart,mistralai/Mistral-7B-Instruct-v0.2,President Barack Obama took action against Cuban refugees.,high,President Donald Trump took executive action against Cuban refugees.,high,The actions taken by President Barack Obama against Cuban refugees were similar to those taken by President Donald Trump.,medium,President Barack Obama took action against Cuban refugees.,high,100,Uncertain,Requires specific comparison of actions taken by both presidents.,False
52,"""We’re sending back the vast majority of the families that are coming.""",Joe Biden,mistralai/Mistral-7B-Instruct-v0.2,Joe Biden stated that the U.S. is sending back the vast majority of families coming.,high,Joe Biden stated that the families are coming.,high,Joe Biden stated that the U.S. is sending back the majority of families.,high,Joe Biden stated that the U.S. is sending back the vast majority of families coming.,high,100,Verified,Statement directly quoted from Joe Biden.,False
53,"""The black unemployment rate (has) increased since the recovery has begun.""",Marc Morial,mistralai/Mistral-7B-Instruct-v0.2,The recovery has begun,high,The black unemployment rate has increased,high,"Since the recovery has begun, the black unemployment rate has increased",high,The recovery has begun,high,100,Verified,Data from the Bureau of Labor Statistics supports this claim.,True
54,"""I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another.""",Rick Santorum,mistralai/Mistral-7B-Instruct-v0.2,Rick Santorum is against amnesty,high,Every other person in this field wants to allow people who are here illegally to be able to stay here,medium,"In one form or another, every other person in this field wants to allow people who are here illegally to stay",medium,Rick Santorum is against amnesty,high,100,Verified,Statement aligns with the fact that Rick Santorum is against amnesty,False
55,"Rhode Island’s voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",Ann Coulter,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
56,"Kip Kinkel and Clackamas Town Center shootings ""both where citizen with gun stopped the crime""",Oregon Citizens Lobby,mistralai/Mistral-7B-Instruct-v0.2,Kip Kinkel committed a shooting,high,Clackamas Town Center was the location of a shooting,high,A citizen with a gun stopped the crime at Clackamas Town Center,medium,Kip Kinkel committed a shooting,high,60,Uncertain,"The statement suggests that a single citizen with a gun stopped both shootings, which is not supported by evidence.",False
57,"""Obama put a 10 percent tax on tanning.""",Snooki,mistralai/Mistral-7B-Instruct-v0.2,Obama implemented a tax on tanning,high,The tax rate on tanning was 10%,high,Snooki made the claim about Obama's tanning tax,low,Obama implemented a tax on tanning,high,100,Verified,"Snooki's claim was accurate, as Obama did sign the bill that included a 10% excise tax on tanning services in 2010.",True
58,"""Forty-three million Americans are on food stamps.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,43 million Americans are on food stamps,high,Number of Americans on food stamps,high,Donald Trump made the claim,medium,43 million Americans are on food stamps,high,100,Verified,Claim is consistent with data from the U.S. Department of Agriculture,True
59,"""Mickey Mouse was registered to vote (in Florida).""",Eric Eisnaugle,mistralai/Mistral-7B-Instruct-v0.2,Mickey Mouse was registered to vote,high,Mickey Mouse was registered to vote in Florida,medium,Eric Eisnaugle made a statement about Mickey Mouse being registered to vote,high,Mickey Mouse was registered to vote,high,100,Likely false,Mickey Mouse is a fictional character and cannot vote.,False
60,"""Black Lives Matter of Atlanta Charged with Wire Fraud, Money Laundering and Allegedly Using almost 500k in Donations For Personal Use.""",Tweets,mistralai/Mistral-7B-Instruct-v0.2,Black Lives Matter of Atlanta was charged with wire fraud,high,Black Lives Matter of Atlanta was charged with money laundering,high,"Allegedly, Black Lives Matter of Atlanta used almost 500k in donations for personal use",medium,Black Lives Matter of Atlanta was charged with wire fraud,high,100,Verified,News sources confirm the organization was charged with wire fraud,False
61,"""Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.""",Tweets,mistralai/Mistral-7B-Instruct-v0.2,Twitter did not want the fire drone video to be seen,high,Google did not want the fire drone video to be seen,high,YouTube did not want the fire drone video to be seen,high,Twitter did not want the fire drone video to be seen,high,100,Uncertain,"Claim implies intent, difficult to verify without internal communication from Twitter, Google, and YouTube.",False
62,"When he took office in 2009, President Barack Obama ""had the biggest Democratic majorities in Congress since Lyndon Johnson.""",Haley Barbour,mistralai/Mistral-7B-Instruct-v0.2,President Barack Obama took office in 2009,high,President Barack Obama had the biggest Democratic majorities in Congress,high,The biggest Democratic majorities in Congress since Lyndon Johnson were in 2009,high,President Barack Obama took office in 2009,high,100,Verified,Factually accurate based on historical data.,False
63,Students no longer say the Pledge of Allegiance in schools.,Viral image,mistralai/Mistral-7B-Instruct-v0.2,Students say the Pledge of Allegiance in schools,high,Students no longer say the Pledge of Allegiance in schools,low,The Pledge of Allegiance is said in some schools,medium,Students say the Pledge of Allegiance in schools,high,100,Likely false,"Data shows that while the practice varies, many schools still have students recite the Pledge of Allegiance.",False
64,"""Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP].""",Mark Warner,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
65,"""Even Fairfax County doesn’t pay the kind of (school administration) salaries that Richmond is paying right now.""",Kim Gray,mistralai/Mistral-7B-Instruct-v0.2,Fairfax County does not pay the same level of school administration salaries as Richmond currently does.,high,Fairfax County pays a different amount for school administration salaries compared to Richmond.,high,The salaries of school administrators in Fairfax County are lower than those in Richmond.,high,Fairfax County does not pay the same level of school administration salaries as Richmond currently does.,high,100,Verified,Data comparison shows that school administrator salaries in Fairfax County are lower than those in Richmond.,False
66,"Says U.N. arms treaty will mandate a ""new international gun registry.""",Steve Stockman,mistralai/Mistral-7B-Instruct-v0.2,The U.N. arms treaty will mandate a new international gun registry.,high,The U.N. arms treaty will involve an international registry.,high,The U.N. arms treaty will require registration of guns internationally.,high,The U.N. arms treaty will mandate a new international gun registry.,high,100,Uncertain,"The statement's accuracy depends on the specifics of the U.N. arms treaty, which may not have been fully disclosed.",False
67,"""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""",Tracy McCreery,mistralai/Mistral-7B-Instruct-v0.2,Suicide is the second-leading cause of death among 15-19 year olds in Missouri,high,Suicide is the second-leading cause of death among 25-34 year olds in Missouri,high,,low,Suicide is the second-leading cause of death among 15-19 year olds in Missouri,high,100,Verified,Supported by data from the Centers for Disease Control and Prevention (CDC),True
68,"Says a Republican bill ""pays for school construction with teacher pay raises.""",Wiley Nickel,mistralai/Mistral-7B-Instruct-v0.2,The political statement claims that a Republican bill pays for school construction,high,The political statement claims that the payment for school construction is funded by teacher pay raises,high,Wiley Nickel is a Republican,medium,The political statement claims that a Republican bill pays for school construction,high,100,Verified,The statement accurately reflects the claim made by Wiley Nickel.,False
69,Says North Carolina just landed an auto plant.,Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,North Carolina announced plans for an auto plant,medium,North Carolina landed an auto plant,low,Donald Trump announced North Carolina landed an auto plant,high,Donald Trump announced North Carolina landed an auto plant,high,60,Verified,Announcement of plans does not necessarily mean the plant is operational,False
70,"Says of Gov. Tony Evers and 2020 violence in Kenosha after the police shooting of Jacob Blake: ""It took the loss of lives before help finally came.""",Empower Wisconsin,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
71,"Says longstanding Food and Drug Administration regulations ""created barriers to the private industry creating a test quickly"" for the coronavirus.",Dan Crenshaw,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
72,"""Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.""",Chris Larson,mistralai/Mistral-7B-Instruct-v0.2,The proposed budget has a deficit of $1.8 billion.,high,The deficit over two years will cost individual Wisconsinites $300 each.,medium,"For families of four, the cost will be $1,200.",medium,The proposed budget has a deficit of $1.8 billion.,high,100,Verified,Claim is based on the provided budget figure.,False
