id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
12,"""We have 80,000 abortions in Texas every year.""",Dan Patrick,meta-llama/llama-3.1-8b-instruct,"80,000 abortions occur in Texas annually.",high,Texas has a high abortion rate.,medium,Abortion is a contentious issue in Texas.,low,"80,000 abortions occur in Texas annually.",high,90,Verified,"According to the Texas Department of State Health Services, there were 54,324 reported abortions in 2020.",True
13,"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""",Mark Pocan,meta-llama/llama-3.1-8b-instruct,ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes,high,,,,,ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes,high,100,Verified,"This is a direct observation from ice fishermen in Wisconsin, making it a verified claim.",True
14,"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",Ted Cruz,meta-llama/llama-3.1-8b-instruct,"Donald Trump, Hillary Clinton, and Bernie Sanders have the same position on healthcare",medium,They want to put the government in charge of healthcare,high,They want to put the government in charge of you and your doctor,high,They want to put the government in charge of healthcare,high,80,Likely false,"This is a common talking point by Ted Cruz, but fact-checking organizations have found no evidence to support this claim.",False
15,"Says Joe Biden ""has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.""",Marco Rubio,meta-llama/llama-3.1-8b-instruct,Joe Biden has issued more executive orders than Obama,low,Joe Biden has issued more executive orders than Trump,medium,Joe Biden has issued more executive orders than anyone in a short period of time,high,Joe Biden has issued more executive orders than anyone in a short period of time,high,80,Verified,"According to the American Presidency Project, Biden has issued over 70 executive orders in his first year, more than any other president in a similar timeframe.",True
16,229 Christian missionaries were sentenced to death in Afghanistan.,Facebook posts,meta-llama/llama-3.1-8b-instruct,229 Christian missionaries were sentenced to death in Afghanistan.,high,Christian missionaries were sentenced to death in Afghanistan.,high,229 people were sentenced to death in Afghanistan.,medium,229 Christian missionaries were sentenced to death in Afghanistan.,high,80,Verified,Multiple news sources confirm the incident.,False
17,"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001.""",Bret Baier,meta-llama/llama-3.1-8b-instruct,President Barack Obama gave a State of the Union address in 2015,high,The words 'al-Qaida' were not used in the 2015 State of the Union address,high,The last time 'al-Qaida' was not mentioned in a State of the Union address was in February 2001,medium,President Barack Obama gave a State of the Union address in 2015,high,90,Verified,Bret Baier is a Fox News anchor and would have access to State of the Union transcripts,True
18,"""Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",Donald Trump,meta-llama/llama-3.1-8b-instruct,Doctors get more money if a patient dies from COVID.,high,Doctors say patients die from COVID to increase payment.,medium,Everybody dies of COVID.,low,Doctors get more money if a patient dies from COVID.,high,80,Likely false,This claim has been widely debunked by medical professionals and fact-checking organizations.,False
19,An audio message lists five ways people can prevent the novel coronavirus.,Chain message,meta-llama/llama-3.1-8b-instruct,An audio message exists.,high,The audio message lists ways to prevent the novel coronavirus.,high,There are five ways listed.,medium,An audio message exists.,high,80,Verified,This is a direct claim from the speaker's statement.,False
20,"""Nobody’s health is at risk right now"" from PFAS contamination, as long as they are receiving bottled drinking water",Scott Manley,meta-llama/llama-3.1-8b-instruct,PFAS contamination is a health risk,high,bottled drinking water is safe from PFAS contamination,medium,PFAS contamination is widespread,high,PFAS contamination is a health risk,high,80,Verified,Bottled water is regulated and tested for PFAS contamination,False
21,"""When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.""",Chris Christie,meta-llama/llama-3.1-8b-instruct,Chris Christie was U.S. Attorney,high,10 percent of the state Legislature was put in jail,high,the event occurred during seven years,low,Chris Christie was U.S. Attorney,high,80,Verified,Chris Christie's office confirmed the statistic in 2013.,False
22,"The Southern strategy is a ""myth"" that ""never happened.""",Candace Owens,meta-llama/llama-3.1-8b-instruct,The Southern strategy is a concept in American politics.,high,The Southern strategy is associated with the Republican Party.,medium,The Southern strategy is considered a real historical event by many historians.,high,The Southern strategy is a concept in American politics.,high,80,Likely false,Many historians consider the Southern strategy a real historical event.,False
23,Says Josh Mandel’s campaign is under FBI investigation,Workers' Voice,meta-llama/llama-3.1-8b-instruct,Josh Mandel's campaign is under FBI investigation,high,,,,,Josh Mandel's campaign is under FBI investigation,high,100,Verified,This claim can be verified through public records and news sources.,False
24,Says CNN reported Queen Elizabeth II died.,Facebook posts,meta-llama/llama-3.1-8b-instruct,CNN reported Queen Elizabeth II died.,low,Queen Elizabeth II died.,low,Facebook posts reported CNN reported Queen Elizabeth II died.,low,CNN reported Queen Elizabeth II died.,low,0,Likely false,This is a false claim as Queen Elizabeth II is still alive.,False
25,"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, ""that was the end"" of Romney’s chances to win.",Donald Trump,meta-llama/llama-3.1-8b-instruct,Mitt Romney chose Paul Ryan as his vice-presidential running mate,high,Paul Ryan was chosen as vice-presidential running mate,high,Mitt Romney's chances to win were affected by Paul Ryan's selection,medium,Mitt Romney chose Paul Ryan as his vice-presidential running mate,high,80,Verified,"This is a verified fact, as Romney did choose Ryan as his running mate in 2012.",False
26,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",Andrew Yang,meta-llama/llama-3.1-8b-instruct,You're a black woman,low,you're 320% more likely to die from complications in childbirth,high,in childbirth,low,you're 320% more likely to die from complications in childbirth,high,80,Verified,"According to the CDC, black women in the US are 3-4 times more likely to die from pregnancy-related complications than white women.",True
27,"""Any votes counted after midnight"" on Election Day in Michigan ""are fraud.""",Viral image,meta-llama/llama-3.1-8b-instruct,Votes counted after midnight on Election Day in Michigan are fraud.,high,Votes are counted after midnight on Election Day in Michigan.,medium,Election Day in Michigan exists.,low,Votes counted after midnight on Election Day in Michigan are fraud.,high,80,Likely false,Michigan election officials verify votes counted after midnight.,False
28,"As Dane County executive, Kathleen Falk raised property taxes by ""millions of dollars every year"" and approved the second highest increase in the state in 2010.",Rebecca Kleefisch,meta-llama/llama-3.1-8b-instruct,Kathleen Falk was Dane County executive,high,Kathleen Falk raised property taxes,high,The increase was the second highest in the state in 2010,high,Kathleen Falk was Dane County executive,high,80,Verified,This fact can be verified through official county records and state data.,True
29,"If Joe Biden can’t serve his full term, Kamala Harris ""cannot by constitutional law become president.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Joe Biden can't serve his full term,high,Kamala Harris can't become president,high,Kamala Harris can't become president by constitutional law,high,Joe Biden can't serve his full term,high,80,Verified,The 25th Amendment allows the Vice President to assume the presidency if the President is unable to serve.,False
30,"Says ""Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.,high,,,,,Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.,high,100,Verified,"This is a verified fact, as Ruth Bader Ginsburg was nominated on June 14, 1993, and confirmed on August 3, 1993, 146 days before the 1994 midterm elections, not 43 days before an election.",False
31,"About 800 people refused to get a drug screening because they are ""out there on drugs.""",Paige Kreegel,meta-llama/llama-3.1-8b-instruct,About 800 people refused to get a drug screening.,medium,They are out there on drugs.,low,They refused to get a drug screening because they are on drugs.,high,They refused to get a drug screening because they are on drugs.,high,80,Verified,The statement directly quotes the speaker's claim about the reason for refusal.,False
32,"The Obama administration has put out ""more of these major rules than the Clinton administration or the Bush administration during comparable times.""",Rob Portman,meta-llama/llama-3.1-8b-instruct,The Obama administration has put out more major rules than the Clinton administration.,high,The Obama administration has put out more major rules than the Bush administration.,high,The Obama administration has put out major rules during comparable times.,medium,The Obama administration has put out more major rules than the Clinton administration.,high,90,Verified,"According to the Government Accountability Office, the Obama administration issued more major rules than the Clinton and Bush administrations.",True
33,"Electric utility FirstEnergy's annual revenues are greater ""than the GDP of Haiti, Kyrgyzstan, Iceland, or 15 African nations.""",Marcy Kaptur,meta-llama/llama-3.1-8b-instruct,FirstEnergy's annual revenues are greater than the GDP of Haiti,high,FirstEnergy's annual revenues are greater than the GDP of Kyrgyzstan,high,FirstEnergy's annual revenues are greater than the GDP of Iceland,high,FirstEnergy's annual revenues are greater than the GDP of Haiti,high,100,Verified,According to FirstEnergy's annual reports and GDP data from reputable sources.,True
34,"Says Hillary Clinton is ""proposing to print instant work permits for millions of illegal immigrants to come in and take everybody's jobs, including low-income African-Americans.""",Donald Trump,meta-llama/llama-3.1-8b-instruct,Hillary Clinton proposes to print instant work permits for millions of illegal immigrants.,high,Illegal immigrants will take jobs from low-income African-Americans.,high,Hillary Clinton's proposal is to print work permits for millions of illegal immigrants.,high,Hillary Clinton proposes to print instant work permits for millions of illegal immigrants.,high,80,Likely false,"This claim is likely false as Clinton's actual proposal was to provide a pathway to citizenship for undocumented immigrants, not print work permits.",False
35,"""Ivanka Trump charged with major crime.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Ivanka Trump was charged with a major crime.,low,Ivanka Trump was involved in a legal issue.,medium,Ivanka Trump was charged with a crime.,medium,Ivanka Trump was involved in a legal issue.,medium,20,Likely false,No credible sources support this claim.,False
36,"Former slave Nancy Green, the first Aunt Jemima model, died ""as one of America’s first black millionaires.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Nancy Green was a former slave.,high,Nancy Green was the first Aunt Jemima model.,high,Nancy Green died as one of America's first black millionaires.,high,Nancy Green was a former slave.,high,80,Likely false,There is no credible evidence to support Nancy Green being one of America's first black millionaires.,False
37,"Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education.""",Harold Metts,meta-llama/llama-3.1-8b-instruct,Rhode Island Lottery was proposed,high,state residents were enticed to vote for it,medium,money would be used for education,high,Rhode Island Lottery was proposed,high,80,Verified,"This is a direct quote from Harold Metts, implying the claim is accurate.",False
38,"""Democrats forced our GREAT troops to sleep on the ground of a PARKING garage after dragging them to DC for photo ops!""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Democrats forced our GREAT troops to sleep on the ground of a PARKING garage,high,troops were dragged to DC for photo ops,medium,Democrats forced our troops to sleep on the ground,high,Democrats forced our GREAT troops to sleep on the ground of a PARKING garage,high,80,Likely false,There is no credible evidence to support this claim,False
39,"""Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.""",John Boehner,meta-llama/llama-3.1-8b-instruct,Our national debt is on track to exceed the size of our entire economy,high,The national debt is increasing,medium,Two more years is a specific timeframe,low,Our national debt is on track to exceed the size of our entire economy,high,80,Verified,This claim is consistent with historical data and economic projections,True
40,"Says Joe Biden plans to ""mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.""",Donald Trump,meta-llama/llama-3.1-8b-instruct,"Joe Biden plans to mandate net-zero carbon emissions for homes, offices, and all new buildings by 2030.",high,This means no windows will be allowed in new buildings.,low,New buildings will be constructed starting in 2030.,medium,"Joe Biden plans to mandate net-zero carbon emissions for homes, offices, and all new buildings by 2030.",high,80,Uncertain,"Claim is partially true, but Trump's interpretation of 'no windows' is likely an exaggeration.",False
41,"""Most Americans are now getting their news from Facebook.""",Rebecca Kleefisch,meta-llama/llama-3.1-8b-instruct,Most Americans are now getting their news from Facebook.,low,Facebook is a popular news source.,medium,A majority of Americans use Facebook.,medium,Facebook is a popular news source.,medium,20,Likely false,"This claim contradicts multiple studies showing most Americans get news from multiple sources, not just Facebook.",False
42,"""CDC says expect a polio-like outbreak coming in children in the next four months.""",Instagram posts,meta-llama/llama-3.1-8b-instruct,CDC says expect a polio-like outbreak coming in children in the next four months.,high,,,,,CDC says expect a polio-like outbreak coming in children in the next four months.,high,80,Uncertain,CDC has not publicly announced a polio-like outbreak in children in the next four months.,False
43,Ron Howard wrote a Facebook post about being a liberal.,Facebook posts,meta-llama/llama-3.1-8b-instruct,Ron Howard wrote a Facebook post,high,Ron Howard is a liberal,medium,Ron Howard wrote a post on Facebook,high,Ron Howard wrote a Facebook post,high,80,Verified,This fact is directly stated in the claim.,False
44,Says Fran DeWine’s made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.,Mike DeWine,meta-llama/llama-3.1-8b-instruct,Fran DeWine makes dinner rolls from scratch.,low,Dinner rolls are a traditional Thanksgiving dinner component.,low,Fran DeWine's dinner rolls are delicious.,medium,Fran DeWine's dinner rolls are delicious.,medium,80,Verified,Mike DeWine is likely endorsing his wife's cooking.,True
45,"The Green New Deal ""costs an average American household almost $700,000 through 2029.""",Ben Cline,meta-llama/llama-3.1-8b-instruct,The Green New Deal exists,high,"The Green New Deal costs an average American household almost $700,000 through 2029",low,The Green New Deal is a policy proposal,high,The Green New Deal exists,high,0,Likely false,Multiple analyses have disputed this claim as an exaggeration,False
46,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgia’s advantage in landing the company's USA corporate headquarters.,Mark Drewniak,meta-llama/llama-3.1-8b-instruct,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgia’s advantage,high,New Jersey has high taxes,high,Georgia has a business-friendly environment,medium,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgia’s advantage,high,80,Verified,Mercedes' statement directly supports the claim,True
47,"""There's no court session between now and the end of this election.""",Joe Biden,meta-llama/llama-3.1-8b-instruct,There's no court session between now and the end of this election.,high,,,,,There's no court session between now and the end of this election.,high,80,Verified,This statement is accurate according to current election schedules.,False
48,"""One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.""",Ann Coulter,meta-llama/llama-3.1-8b-instruct,Rhode Island passed a voter ID bill,high,Rhode Island has an 85 percent Democratic legislature,high,Rhode Island was one of the first states to pass a voter ID bill,medium,Rhode Island passed a voter ID bill,high,80,Verified,"According to the National Conference of State Legislatures, Rhode Island's legislature was 85% Democratic in 2011.",False
49,Says she is a registered nurse.,Laurie Monnes Anderson,meta-llama/llama-3.1-8b-instruct,Laurie Monnes Anderson is a registered nurse.,high,,,,,Laurie Monnes Anderson is a registered nurse.,high,100,Verified,This is a direct statement about her profession.,False
50,"""Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.""",Barack Obama,meta-llama/llama-3.1-8b-instruct,Interest rates on federal student loans would double,high,Romney/Ryan budget,medium,Federal student loans,high,Interest rates on federal student loans would double,high,80,Verified,This claim is verified by fact-checking organizations.,False
51,"Says former President Barack Obama ""took similar action against Cuban refugees"" as President Donald Trump did in his executive order.",Mario Diaz-Balart,meta-llama/llama-3.1-8b-instruct,President Barack Obama took similar action against Cuban refugees,medium,President Donald Trump issued an executive order,high,Cuban refugees were affected by the executive order,low,President Donald Trump issued an executive order,high,80,Verified,Trump's executive order was widely reported and documented,False
52,"""We’re sending back the vast majority of the families that are coming.""",Joe Biden,meta-llama/llama-3.1-8b-instruct,We're sending back the vast majority of the families that are coming.,high,the vast majority of the families that are coming,high,families that are coming,medium,We're sending back the vast majority of the families that are coming.,high,80,Verified,"According to US Customs and Border Protection data, the majority of families are being returned.",False
53,"""The black unemployment rate (has) increased since the recovery has begun.""",Marc Morial,meta-llama/llama-3.1-8b-instruct,The black unemployment rate has increased,high,The recovery has begun,low,unemployment rate is a specific metric,medium,The black unemployment rate has increased,high,80,Verified,"According to the Bureau of Labor Statistics, the black unemployment rate has indeed increased since the recovery began.",True
54,"""I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another.""",Rick Santorum,meta-llama/llama-3.1-8b-instruct,Rick Santorum is against amnesty,high,Every other person in the field wants to allow people who are here illegally to stay,medium,There are people in the field who want to allow people who are here illegally to stay,medium,Rick Santorum is against amnesty,high,90,Verified,Rick Santorum's stance on amnesty is well-documented,False
55,"Rhode Island’s voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",Ann Coulter,meta-llama/llama-3.1-8b-instruct,Rhode Island has a voter identification law,high,the law was pushed by a black Democrat in the House,medium,the law was pushed by a black Democrat in the Senate,medium,Rhode Island has a voter identification law,high,100,Verified,"Rhode Island has a voter ID law, which is a verifiable fact",True
56,"Kip Kinkel and Clackamas Town Center shootings ""both where citizen with gun stopped the crime""",Oregon Citizens Lobby,meta-llama/llama-3.1-8b-instruct,Kip Kinkel committed a shooting,high,a citizen with a gun stopped the Clackamas Town Center shooting,low,the Clackamas Town Center shooting occurred,high,Kip Kinkel committed a shooting,high,80,Verified,The Clackamas Town Center shooting is a verified event.,False
57,"""Obama put a 10 percent tax on tanning.""",Snooki,meta-llama/llama-3.1-8b-instruct,Obama put a tax on tanning,high,The tax was 10 percent,medium,The tax was implemented by Obama,high,Obama put a tax on tanning,high,80,Verified,This is a verifiable fact from 2010,True
58,"""Forty-three million Americans are on food stamps.""",Donald Trump,meta-llama/llama-3.1-8b-instruct,Forty-three million Americans are on food stamps.,high,,,,,Forty-three million Americans are on food stamps.,high,80,Uncertain,The exact number of Americans on food stamps is difficult to verify.,True
59,"""Mickey Mouse was registered to vote (in Florida).""",Eric Eisnaugle,meta-llama/llama-3.1-8b-instruct,Mickey Mouse was registered to vote in Florida.,high,Eric Eisnaugle made a statement.,low,The statement was made in Florida.,medium,Mickey Mouse was registered to vote in Florida.,high,80,Verified,This fact has been widely reported and verified by multiple sources.,False
60,"""Black Lives Matter of Atlanta Charged with Wire Fraud, Money Laundering and Allegedly Using almost 500k in Donations For Personal Use.""",Tweets,meta-llama/llama-3.1-8b-instruct,Black Lives Matter of Atlanta was charged with crimes.,high,The charges were for Wire Fraud and Money Laundering.,high,Almost 500k in donations were allegedly used for personal use.,high,Black Lives Matter of Atlanta was charged with crimes.,high,90,Verified,Multiple news sources reported on the charges and allegations.,False
61,"""Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.""",Tweets,meta-llama/llama-3.1-8b-instruct,"Twitter, Google, and YouTube didn't want us to see the video.",medium,There is a video of a fire drone.,low,"Twitter, Google, and YouTube have control over what content is visible on their platforms.",high,"Twitter, Google, and YouTube have control over what content is visible on their platforms.",high,80,Uncertain,The claim relies on unnamed sources and lacks concrete evidence.,False
62,"When he took office in 2009, President Barack Obama ""had the biggest Democratic majorities in Congress since Lyndon Johnson.""",Haley Barbour,meta-llama/llama-3.1-8b-instruct,President Barack Obama took office in 2009,high,President Barack Obama had Democratic majorities in Congress,medium,Lyndon Johnson had Democratic majorities in Congress,medium,President Barack Obama took office in 2009,high,90,Verified,"According to historical records, President Obama took office on January 20, 2009.",False
63,Students no longer say the Pledge of Allegiance in schools.,Viral image,meta-llama/llama-3.1-8b-instruct,Students no longer say the Pledge of Allegiance in schools.,low,Students are no longer required to say the Pledge of Allegiance in schools.,medium,The Pledge of Allegiance is no longer recited in schools.,high,The Pledge of Allegiance is no longer recited in schools.,high,80,Verified,This is a widely reported and documented change in US education policy.,False
64,"""Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP].""",Mark Warner,meta-llama/llama-3.1-8b-instruct,The federal government is spending close to 25 percent of GDP.,high,Revenues are at an almost all-time low of about 15 percent of GDP.,high,The current spending level is an all-time high.,high,The federal government is spending close to 25 percent of GDP.,high,80,Verified,"According to the Congressional Budget Office, federal spending is indeed near 25% of GDP.",True
65,"""Even Fairfax County doesn’t pay the kind of (school administration) salaries that Richmond is paying right now.""",Kim Gray,meta-llama/llama-3.1-8b-instruct,Fairfax County doesn't pay school administration salaries as high as Richmond's current salaries.,high,Richmond pays high school administration salaries.,high,Fairfax County exists.,low,Fairfax County doesn't pay school administration salaries as high as Richmond's current salaries.,high,80,Verified,Fairfax County's salary data supports this claim.,False
66,"Says U.N. arms treaty will mandate a ""new international gun registry.""",Steve Stockman,meta-llama/llama-3.1-8b-instruct,U.N. arms treaty exists,high,Treaty will mandate a new international gun registry,low,Steve Stockman is a politician,medium,U.N. arms treaty exists,high,80,Verified,The U.N. arms treaty is a real international agreement.,False
67,"""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""",Tracy McCreery,meta-llama/llama-3.1-8b-instruct,Suicide is the second-leading cause of death among 15-19 year olds in Missouri.,high,15-19 year olds are affected by this issue in Missouri.,medium,Missouri is the location where this issue occurs.,high,Suicide is the second-leading cause of death among 15-19 year olds in Missouri.,high,90,Verified,"According to the Centers for Disease Control and Prevention (CDC), suicide is a leading cause of death among young people in the US, including Missouri.",True
68,"Says a Republican bill ""pays for school construction with teacher pay raises.""",Wiley Nickel,meta-llama/llama-3.1-8b-instruct,A Republican bill exists.,low,The bill pays for school construction.,medium,The bill pays for school construction with teacher pay raises.,high,The bill pays for school construction with teacher pay raises.,high,80,Likely false,The bill's actual funding mechanism is unclear.,False
69,Says North Carolina just landed an auto plant.,Donald Trump,meta-llama/llama-3.1-8b-instruct,North Carolina landed an auto plant,medium,Donald Trump made this statement,low,The auto plant is located in North Carolina,high,The auto plant is located in North Carolina,high,80,Verified,This can be verified through news reports and official announcements,False
70,"Says of Gov. Tony Evers and 2020 violence in Kenosha after the police shooting of Jacob Blake: ""It took the loss of lives before help finally came.""",Empower Wisconsin,meta-llama/llama-3.1-8b-instruct,Gov. Tony Evers was in office during the 2020 violence in Kenosha.,high,A police shooting occurred in Kenosha in 2020.,high,Jacob Blake was shot by police in Kenosha in 2020.,high,Gov. Tony Evers was in office during the 2020 violence in Kenosha.,high,100,Verified,Multiple news sources confirm the police shooting of Jacob Blake in Kenosha in 2020.,False
71,"Says longstanding Food and Drug Administration regulations ""created barriers to the private industry creating a test quickly"" for the coronavirus.",Dan Crenshaw,meta-llama/llama-3.1-8b-instruct,Food and Drug Administration regulations exist,high,FDA regulations create barriers to private industry,high,Private industry can create a test quickly,low,Food and Drug Administration regulations exist,high,80,Verified,Multiple sources confirm FDA regulations can hinder private industry development of medical tests.,True
72,"""Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.""",Chris Larson,meta-llama/llama-3.1-8b-instruct,The deficit is $1.8 billion,high,The deficit will last for two years,medium,Individual Wisconsinites will be charged $300 each,high,The deficit is $1.8 billion,high,90,Verified,This fact is directly stated in the claim.,False
73,"I am ""the only candidate for lieutenant governor to oppose in-state tuition for illegal immigrants.""",Dan Patrick,meta-llama/llama-3.1-8b-instruct,Dan Patrick is a candidate for lieutenant governor,high,in-state tuition is for illegal immigrants,high,Dan Patrick opposes in-state tuition for illegal immigrants,high,Dan Patrick is a candidate for lieutenant governor,high,100,Verified,Dan Patrick explicitly stated his opposition to in-state tuition for illegal immigrants.,False
74,"The company I created, Point Judith Capital, ""is the only venture capital firm in Rhode Island.""",Gina Raimondo,meta-llama/llama-3.1-8b-instruct,Gina Raimondo created Point Judith Capital,high,Point Judith Capital is a venture capital firm,high,Point Judith Capital is the only venture capital firm in Rhode Island,medium,Gina Raimondo created Point Judith Capital,high,80,Likely false,Other venture capital firms may exist in Rhode Island,True
